"","상호명","지점명","상권업종대분류명","상권업종중분류명","상권업종소분류명","행정동명","도로명주소","경도","위도","행정동코드"
"14485","영자클럽서울","화곡점","음식","커피점/카페","커피전문점/카페/다방","화곡4동","서울특별시 강서구 곰달래로 268",126.862885110501,37.5321424296645,1150057000
"14486","후니드SK플래닛서울스퀘어카페점",NA,"음식","커피점/카페","커피전문점/카페/다방","회현동","서울특별시 중구 한강대로 416",126.973739611968,37.5554947274348,1114054000
"14487","아피커피",NA,"음식","커피점/카페","커피전문점/카페/다방","수유1동","서울특별시 강북구 수유로 23",127.018762268611,37.6331146491209,1130561000
"14488","거복사주카페",NA,"음식","커피점/카페","사주카페","압구정동","서울특별시 강남구 선릉로161길 19",127.038760950513,37.5273075310456,1168054500
"14489","커피빈","코리아응암동점","음식","커피점/카페","커피전문점/카페/다방","응암1동","서울특별시 은평구 은평로 121",126.921074286152,37.6004373938409,1138058000
"14490","공장",NA,"음식","커피점/카페","커피전문점/카페/다방","쌍문2동","서울특별시 도봉구 해등로 180",127.036843518529,37.65776274727,1132067000
"14491","지하로카페",NA,"음식","커피점/카페","커피전문점/카페/다방","성산2동","서울특별시 마포구 성암로3길 30",126.910954758411,37.5682496237167,1144073000
"14492","뮤즈서울",NA,"음식","커피점/카페","커피전문점/카페/다방","창2동","서울특별시 도봉구 도봉로110다길 51",127.032929700627,37.6431970666606,1132051200
"14493","카페소피",NA,"음식","커피점/카페","커피전문점/카페/다방","성산2동","서울특별시 마포구 새터산4길 23",126.908366921715,37.5656217277489,1144073000
"14494","리틀제이콥스","서초점","음식","커피점/카페","커피전문점/카페/다방","서초2동","서울특별시 서초구 서초대로78길 26",127.027714734936,37.495355865144,1165052000
"14495","곰달래커피맥주",NA,"음식","커피점/카페","커피전문점/카페/다방","화곡8동","서울특별시 강서구 곰달래로 147",126.84922633396,37.5308297578501,1150059300
"14496","팔공티상암점","상암점","음식","커피점/카페","커피전문점/카페/다방","상암동","서울특별시 마포구 월드컵북로 402",126.889020628239,37.580200182874,1144074000
"14497","토프레소",NA,"음식","커피점/카페","커피전문점/카페/다방","이문1동","서울특별시 동대문구 휘경로 29-9",127.063420028043,37.5955077652363,1123074000
"14498","프리메라커피",NA,"음식","커피점/카페","커피전문점/카페/다방","장안1동","서울특별시 동대문구 장한로14길 58",127.07080455517,37.5653450573163,1123065000
"14499","주커피","역삼점","음식","커피점/카페","커피전문점/카페/다방","역삼1동","서울특별시 강남구 테헤란로 108",127.029105908879,37.4979623466242,1168064000
"14500","랭스터디카페","한양대점","음식","커피점/카페","커피전문점/카페/다방","사근동","서울특별시 성동구 왕십리로 227",127.041908105054,37.5572209184308,1120055000
"14501","카페디토리노",NA,"음식","커피점/카페","커피전문점/카페/다방","서교동","서울특별시 마포구 양화로 161",126.923297793953,37.5569286733792,1144066000
"14502","커피미업",NA,"음식","커피점/카페","커피전문점/카페/다방","휘경2동","서울특별시 동대문구 망우로20길 87",127.067168660471,37.5909421299089,1123073000
"14503","새임새임",NA,"음식","커피점/카페","커피전문점/카페/다방","공덕동","서울특별시 마포구 손기정로 56",126.962494049771,37.5559911311529,1144056500
"14504","커피코트구로e스페이스점",NA,"음식","커피점/카페","커피전문점/카페/다방","구로3동","서울특별시 구로구 디지털로27길 36",126.892542504059,37.4837318866688,1153054000
"14505","NorwegianWood",NA,"음식","커피점/카페","커피전문점/카페/다방","우이동","서울특별시 강북구 인수봉로 314",127.010695964118,37.6467519979177,1130564500
"14506","PROJECT℃",NA,"음식","커피점/카페","커피전문점/카페/다방","필동","서울특별시 중구 퇴계로36가길 89",126.995299400047,37.5564009953961,1114057000
"14507","이디야커피","박미삼거리점","음식","커피점/카페","커피전문점/카페/다방","시흥5동","서울특별시 금천구 시흥대로 150",126.903653435475,37.4476132757895,1154571000
"14508","엘팔알레이터",NA,"음식","커피점/카페","커피전문점/카페/다방","역삼2동","서울특별시 강남구 테헤란로38길 40-8",127.04225797642,37.4997817148703,1168065000
"14509","드림스토리",NA,"음식","커피점/카페","커피전문점/카페/다방","도림동","서울특별시 영등포구 영신로 1-1",126.909547534078,37.5117774534266,1156058500
"14510","플러드엠",NA,"음식","커피점/카페","커피전문점/카페/다방","창4동","서울특별시 도봉구 도봉로136길 80",127.045595459635,37.65933860794,1132051400
"14511","성곽마을삼층까페",NA,"음식","커피점/카페","커피전문점/카페/다방","부암동","서울특별시 종로구 백석동길 12-1",126.96628250677,37.5930660903078,1111055000
"14512","사랑방카페",NA,"음식","커피점/카페","커피전문점/카페/다방","당산1동","서울특별시 영등포구 당산로 123",126.89635344212,37.5259544466025,1156055000
"14513","장일커피숍",NA,"음식","커피점/카페","커피전문점/카페/다방","장안1동","서울특별시 동대문구 답십리로66길 25",127.067967545727,37.5713687223816,1123065000
"14514","WhatsCoffee",NA,"음식","커피점/카페","커피전문점/카페/다방","필동","서울특별시 중구 수표로 16",126.990621299033,37.562551262105,1114057000
"14515","엠엠티에이치065",NA,"음식","커피점/카페","커피전문점/카페/다방","용강동","서울특별시 마포구 독막로 320",126.947862041938,37.5429587280548,1144059000
"14516","선릉마실길",NA,"음식","커피점/카페","전통찻집/인삼찻집","삼성1동","서울특별시 강남구 삼성로 530",127.055640840739,37.5093685695198,1168058000
